# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
3.04502e+02	1.85137e-02
3.05203e+02	1.85481e-02
3.05903e+02	1.85826e-02
3.06603e+02	1.86171e-02
3.07304e+02	1.86518e-02
3.08004e+02	1.86866e-02
3.08704e+02	1.87214e-02
3.09405e+02	1.87564e-02
3.10105e+02	1.87915e-02
3.10805e+02	1.88266e-02
3.11506e+02	1.88619e-02
3.12206e+02	1.88973e-02
3.12906e+02	1.89327e-02
3.13607e+02	1.89683e-02
3.14307e+02	1.90040e-02
3.15008e+02	1.90397e-02
3.15708e+02	1.90756e-02
3.16408e+02	1.91116e-02
3.17109e+02	1.91476e-02
3.17809e+02	1.91838e-02
3.18509e+02	1.92201e-02
3.19210e+02	1.92565e-02
3.19910e+02	1.92930e-02
3.20610e+02	1.93296e-02
3.21311e+02	1.93663e-02
3.22011e+02	1.94031e-02
3.22711e+02	1.94400e-02
3.23412e+02	1.94770e-02
3.24112e+02	1.95141e-02
3.24812e+02	1.95514e-02
3.25513e+02	1.95887e-02
3.26213e+02	1.96261e-02
3.26913e+02	1.96637e-02
3.27614e+02	1.97014e-02
3.28314e+02	1.97391e-02
3.29015e+02	1.97770e-02
3.29715e+02	1.98150e-02
3.30415e+02	1.98531e-02
3.31116e+02	1.98913e-02
3.31816e+02	1.99297e-02
3.32516e+02	1.99681e-02
3.33217e+02	2.00067e-02
3.33917e+02	2.00453e-02
3.34617e+02	2.00841e-02
3.35318e+02	2.01230e-02
3.36018e+02	2.01620e-02
3.36718e+02	2.02011e-02
3.37419e+02	2.02404e-02
3.38119e+02	2.02797e-02
3.38819e+02	2.03192e-02
3.39520e+02	2.03588e-02
3.40220e+02	2.03985e-02
3.40920e+02	2.04383e-02
3.41621e+02	2.04783e-02
3.42321e+02	2.05183e-02
3.43022e+02	2.05585e-02
3.43722e+02	2.05988e-02
3.44422e+02	2.06392e-02
3.45123e+02	2.06797e-02
3.45823e+02	2.07204e-02
3.46523e+02	2.07612e-02
3.47224e+02	2.08021e-02
3.47924e+02	2.08431e-02
3.48624e+02	2.08842e-02
3.49325e+02	2.09255e-02
3.50025e+02	2.09669e-02
3.50725e+02	2.10084e-02
3.51426e+02	2.10500e-02
3.52126e+02	2.10918e-02
3.52826e+02	2.11337e-02
3.53527e+02	2.11757e-02
3.54227e+02	2.12179e-02
3.54927e+02	2.12601e-02
3.55628e+02	2.13025e-02
3.56328e+02	2.13451e-02
3.57029e+02	2.13877e-02
3.57729e+02	2.14305e-02
3.58429e+02	2.14734e-02
3.59130e+02	2.15165e-02
3.59830e+02	2.15596e-02
3.60530e+02	2.16029e-02
3.61231e+02	2.16464e-02
3.61931e+02	2.16900e-02
3.62631e+02	2.17337e-02
3.63332e+02	2.17775e-02
3.64032e+02	2.18215e-02
3.64732e+02	2.18656e-02
3.65433e+02	2.19098e-02
3.66133e+02	2.19542e-02
3.66833e+02	2.19987e-02
3.67534e+02	2.20434e-02
3.68234e+02	2.20882e-02
3.68934e+02	2.21331e-02
3.69635e+02	2.21782e-02
3.70335e+02	2.22234e-02
3.71036e+02	2.22687e-02
3.71736e+02	2.23142e-02
3.72436e+02	2.23598e-02
3.73137e+02	2.24056e-02
3.73837e+02	2.24515e-02
3.74537e+02	2.24976e-02
3.75238e+02	2.25438e-02
3.75938e+02	2.25901e-02
3.76638e+02	2.26366e-02
3.77339e+02	2.26832e-02
3.78039e+02	2.27300e-02
3.78739e+02	2.27769e-02
3.79440e+02	2.28240e-02
3.80140e+02	2.28712e-02
3.80840e+02	2.29186e-02
3.81541e+02	2.29661e-02
3.82241e+02	2.30138e-02
3.82941e+02	2.30616e-02
3.83642e+02	2.31095e-02
3.84342e+02	2.31577e-02
3.85043e+02	2.32059e-02
3.85743e+02	2.32544e-02
3.86443e+02	2.33029e-02
3.87144e+02	2.33517e-02
3.87844e+02	2.34006e-02
3.88544e+02	2.34496e-02
3.89245e+02	2.34988e-02
3.89945e+02	2.35481e-02
3.90645e+02	2.35977e-02
3.91346e+02	2.36473e-02
3.92046e+02	2.36972e-02
3.92746e+02	2.37471e-02
3.93447e+02	2.37973e-02
3.94147e+02	2.38476e-02
3.94847e+02	2.38981e-02
3.95548e+02	2.39487e-02
3.96248e+02	2.39995e-02
3.96948e+02	2.40505e-02
3.97649e+02	2.41016e-02
3.98349e+02	2.41529e-02
3.99050e+02	2.42043e-02
3.99750e+02	2.42559e-02
4.00450e+02	2.43077e-02
4.01151e+02	2.43597e-02
4.01851e+02	2.44118e-02
4.02551e+02	2.44641e-02
4.03252e+02	2.45166e-02
4.03952e+02	2.45692e-02
4.04652e+02	2.46220e-02
4.05353e+02	2.46750e-02
4.06053e+02	2.47281e-02
4.06753e+02	2.47815e-02
4.07454e+02	2.48350e-02
4.08154e+02	2.48886e-02
4.08854e+02	2.49425e-02
4.09555e+02	2.49965e-02
4.10255e+02	2.50507e-02
4.10955e+02	2.51051e-02
4.11656e+02	2.51597e-02
4.12356e+02	2.52144e-02
4.13057e+02	2.52694e-02
4.13757e+02	2.53245e-02
4.14457e+02	2.53798e-02
4.15158e+02	2.54352e-02
4.15858e+02	2.54909e-02
4.16558e+02	2.55467e-02
4.17259e+02	2.56028e-02
4.17959e+02	2.56590e-02
4.18659e+02	2.57154e-02
4.19360e+02	2.57720e-02
4.20060e+02	2.58287e-02
4.20760e+02	2.58857e-02
4.21461e+02	2.59429e-02
4.22161e+02	2.60002e-02
4.22861e+02	2.60578e-02
4.23562e+02	2.61155e-02
4.24262e+02	2.61735e-02
4.24962e+02	2.62316e-02
4.25663e+02	2.62899e-02
4.26363e+02	2.63484e-02
4.27064e+02	2.64072e-02
4.27764e+02	2.64661e-02
4.28464e+02	2.65252e-02
4.29165e+02	2.65845e-02
4.29865e+02	2.66440e-02
4.30565e+02	2.67038e-02
4.31266e+02	2.67637e-02
4.31966e+02	2.68238e-02
4.32666e+02	2.68842e-02
4.33367e+02	2.69447e-02
4.34067e+02	2.70055e-02
4.34767e+02	2.70664e-02
4.35468e+02	2.71276e-02
4.36168e+02	2.71890e-02
4.36868e+02	2.72506e-02
4.37569e+02	2.73124e-02
4.38269e+02	2.73744e-02
4.38969e+02	2.74366e-02
4.39670e+02	2.74991e-02
4.40370e+02	2.75617e-02
4.41071e+02	2.76246e-02
4.41771e+02	2.76877e-02
4.42471e+02	2.77510e-02
4.43172e+02	2.78145e-02
4.43872e+02	2.78783e-02
4.44572e+02	2.79423e-02
4.45273e+02	2.80065e-02
4.45973e+02	2.80709e-02
4.46673e+02	2.81356e-02
4.47374e+02	2.82004e-02
4.48074e+02	2.82655e-02
4.48774e+02	2.83309e-02
4.49475e+02	2.83964e-02
4.50175e+02	2.84622e-02
4.50875e+02	2.85283e-02
4.51576e+02	2.85945e-02
4.52276e+02	2.86610e-02
4.52976e+02	2.87277e-02
4.53677e+02	2.87947e-02
4.54377e+02	2.88619e-02
4.55078e+02	2.89293e-02
4.55778e+02	2.89970e-02
4.56478e+02	2.90649e-02
4.57179e+02	2.91331e-02
4.57879e+02	2.92015e-02
4.58579e+02	2.92702e-02
4.59280e+02	2.93391e-02
4.59980e+02	2.94082e-02
4.60680e+02	2.94776e-02
4.61381e+02	2.95472e-02
4.62081e+02	2.96171e-02
4.62781e+02	2.96873e-02
4.63482e+02	2.97577e-02
4.64182e+02	2.98283e-02
4.64882e+02	2.98992e-02
4.65583e+02	2.99704e-02
4.66283e+02	3.00418e-02
4.66983e+02	3.01135e-02
4.67684e+02	3.01854e-02
4.68384e+02	3.02576e-02
4.69085e+02	3.03300e-02
4.69785e+02	3.04028e-02
4.70485e+02	3.04758e-02
4.71186e+02	3.05490e-02
4.71886e+02	3.06225e-02
4.72586e+02	3.06963e-02
4.73287e+02	3.07704e-02
4.73987e+02	3.08447e-02
4.74687e+02	3.09193e-02
4.75388e+02	3.09942e-02
4.76088e+02	3.10694e-02
4.76788e+02	3.11448e-02
4.77489e+02	3.12205e-02
4.78189e+02	3.12965e-02
4.78889e+02	3.13728e-02
4.79590e+02	3.14494e-02
4.80290e+02	3.15262e-02
4.80990e+02	3.16033e-02
4.81691e+02	3.16808e-02
4.82391e+02	3.17585e-02
4.83092e+02	3.18365e-02
4.83792e+02	3.19147e-02
4.84492e+02	3.19933e-02
4.85193e+02	3.20722e-02
4.85893e+02	3.21514e-02
4.86593e+02	3.22308e-02
4.87294e+02	3.23106e-02
4.87994e+02	3.23907e-02
4.88694e+02	3.24710e-02
4.89395e+02	3.25517e-02
4.90095e+02	3.26327e-02
4.90795e+02	3.27140e-02
4.91496e+02	3.27956e-02
4.92196e+02	3.28775e-02
4.92896e+02	3.29597e-02
4.93597e+02	3.30422e-02
4.94297e+02	3.31250e-02
4.94997e+02	3.32082e-02
4.95698e+02	3.32917e-02
4.96398e+02	3.33755e-02
4.97099e+02	3.34596e-02
4.97799e+02	3.35440e-02
4.98499e+02	3.36288e-02
4.99200e+02	3.37139e-02
4.99900e+02	3.37993e-02
5.00600e+02	3.38850e-02
5.01301e+02	3.39711e-02
5.02001e+02	3.40575e-02
5.02701e+02	3.41443e-02
5.03402e+02	3.42314e-02
5.04102e+02	3.43188e-02
5.04802e+02	3.44065e-02
5.05503e+02	3.44946e-02
5.06203e+02	3.45831e-02
5.06903e+02	3.46719e-02
5.07604e+02	3.47610e-02
5.08304e+02	3.48505e-02
5.09005e+02	3.49403e-02
5.09705e+02	3.50305e-02
5.10405e+02	3.51211e-02
5.11106e+02	3.52120e-02
5.11806e+02	3.53032e-02
5.12506e+02	3.53949e-02
5.13207e+02	3.54868e-02
5.13907e+02	3.55792e-02
5.14607e+02	3.56719e-02
5.15308e+02	3.57650e-02
5.16008e+02	3.58584e-02
5.16708e+02	3.59522e-02
5.17409e+02	3.60464e-02
5.18109e+02	3.61410e-02
5.18809e+02	3.62360e-02
5.19510e+02	3.63313e-02
5.20210e+02	3.64270e-02
5.20910e+02	3.65231e-02
5.21611e+02	3.66196e-02
5.22311e+02	3.67165e-02
5.23012e+02	3.68137e-02
5.23712e+02	3.69114e-02
5.24412e+02	3.70094e-02
5.25113e+02	3.71079e-02
5.25813e+02	3.72067e-02
5.26513e+02	3.73060e-02
5.27214e+02	3.74056e-02
5.27914e+02	3.75057e-02
5.28614e+02	3.76061e-02
5.29315e+02	3.77070e-02
5.30015e+02	3.78083e-02
5.30715e+02	3.79100e-02
5.31416e+02	3.80121e-02
5.32116e+02	3.81146e-02
5.32816e+02	3.82176e-02
5.33517e+02	3.83210e-02
5.34217e+02	3.84248e-02
5.34917e+02	3.85290e-02
5.35618e+02	3.86337e-02
5.36318e+02	3.87388e-02
5.37019e+02	3.88443e-02
5.37719e+02	3.89503e-02
5.38419e+02	3.90567e-02
5.39120e+02	3.91636e-02
5.39820e+02	3.92709e-02
5.40520e+02	3.93786e-02
5.41221e+02	3.94868e-02
5.41921e+02	3.95955e-02
5.42621e+02	3.97046e-02
5.43322e+02	3.98141e-02
5.44022e+02	3.99242e-02
5.44722e+02	4.00347e-02
5.45423e+02	4.01456e-02
5.46123e+02	4.02571e-02
5.46823e+02	4.03690e-02
5.47524e+02	4.04813e-02
5.48224e+02	4.05942e-02
5.48924e+02	4.07075e-02
5.49625e+02	4.08213e-02
5.50325e+02	4.09356e-02
5.51026e+02	4.10504e-02
5.51726e+02	4.11657e-02
5.52426e+02	4.12815e-02
5.53127e+02	4.13977e-02
5.53827e+02	4.15145e-02
5.54527e+02	4.16318e-02
5.55228e+02	4.17495e-02
5.55928e+02	4.18678e-02
5.56628e+02	4.19866e-02
5.57329e+02	4.21059e-02
5.58029e+02	4.22257e-02
5.58729e+02	4.23461e-02
5.59430e+02	4.24670e-02
5.60130e+02	4.25884e-02
5.60830e+02	4.27103e-02
5.61531e+02	4.28327e-02
5.62231e+02	4.29557e-02
5.62931e+02	4.30793e-02
5.63632e+02	4.32033e-02
5.64332e+02	4.33279e-02
5.65033e+02	4.34531e-02
5.65733e+02	4.35788e-02
5.66433e+02	4.37051e-02
5.67134e+02	4.38319e-02
5.67834e+02	4.39593e-02
5.68534e+02	4.40873e-02
