# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
3.91346e+02	3.46118e-02
3.92046e+02	3.46857e-02
3.92746e+02	3.47598e-02
3.93447e+02	3.48342e-02
3.94147e+02	3.49088e-02
3.94847e+02	3.49836e-02
3.95548e+02	3.50587e-02
3.96248e+02	3.51341e-02
3.96948e+02	3.52097e-02
3.97649e+02	3.52855e-02
3.98349e+02	3.53616e-02
3.99050e+02	3.54379e-02
3.99750e+02	3.55144e-02
4.00450e+02	3.55913e-02
4.01151e+02	3.56683e-02
4.01851e+02	3.57457e-02
4.02551e+02	3.58233e-02
4.03252e+02	3.59011e-02
4.03952e+02	3.59792e-02
4.04652e+02	3.60575e-02
4.05353e+02	3.61361e-02
4.06053e+02	3.62150e-02
4.06753e+02	3.62941e-02
4.07454e+02	3.63735e-02
4.08154e+02	3.64532e-02
4.08854e+02	3.65331e-02
4.09555e+02	3.66133e-02
4.10255e+02	3.66937e-02
4.10955e+02	3.67744e-02
4.11656e+02	3.68554e-02
4.12356e+02	3.69367e-02
4.13057e+02	3.70182e-02
4.13757e+02	3.71000e-02
4.14457e+02	3.71821e-02
4.15158e+02	3.72644e-02
4.15858e+02	3.73470e-02
4.16558e+02	3.74299e-02
4.17259e+02	3.75131e-02
4.17959e+02	3.75966e-02
4.18659e+02	3.76803e-02
4.19360e+02	3.77643e-02
4.20060e+02	3.78486e-02
4.20760e+02	3.79332e-02
4.21461e+02	3.80181e-02
4.22161e+02	3.81033e-02
4.22861e+02	3.81887e-02
4.23562e+02	3.82745e-02
4.24262e+02	3.83605e-02
4.24962e+02	3.84468e-02
4.25663e+02	3.85335e-02
4.26363e+02	3.86204e-02
4.27064e+02	3.87076e-02
4.27764e+02	3.87951e-02
4.28464e+02	3.88829e-02
4.29165e+02	3.89710e-02
4.29865e+02	3.90594e-02
4.30565e+02	3.91482e-02
4.31266e+02	3.92372e-02
4.31966e+02	3.93265e-02
4.32666e+02	3.94162e-02
4.33367e+02	3.95061e-02
4.34067e+02	3.95964e-02
4.34767e+02	3.96869e-02
4.35468e+02	3.97778e-02
4.36168e+02	3.98690e-02
4.36868e+02	3.99606e-02
4.37569e+02	4.00524e-02
4.38269e+02	4.01445e-02
4.38969e+02	4.02370e-02
4.39670e+02	4.03298e-02
4.40370e+02	4.04230e-02
4.41071e+02	4.05164e-02
4.41771e+02	4.06102e-02
4.42471e+02	4.07043e-02
4.43172e+02	4.07987e-02
4.43872e+02	4.08935e-02
4.44572e+02	4.09886e-02
4.45273e+02	4.10840e-02
4.45973e+02	4.11798e-02
4.46673e+02	4.12759e-02
4.47374e+02	4.13724e-02
4.48074e+02	4.14692e-02
4.48774e+02	4.15663e-02
4.49475e+02	4.16638e-02
4.50175e+02	4.17616e-02
4.50875e+02	4.18598e-02
4.51576e+02	4.19583e-02
4.52276e+02	4.20572e-02
4.52976e+02	4.21564e-02
4.53677e+02	4.22560e-02
4.54377e+02	4.23560e-02
4.55078e+02	4.24563e-02
4.55778e+02	4.25569e-02
4.56478e+02	4.26579e-02
4.57179e+02	4.27593e-02
4.57879e+02	4.28611e-02
4.58579e+02	4.29632e-02
4.59280e+02	4.30657e-02
4.59980e+02	4.31685e-02
4.60680e+02	4.32718e-02
4.61381e+02	4.33754e-02
4.62081e+02	4.34794e-02
4.62781e+02	4.35837e-02
4.63482e+02	4.36885e-02
4.64182e+02	4.37936e-02
4.64882e+02	4.38991e-02
4.65583e+02	4.40050e-02
4.66283e+02	4.41112e-02
4.66983e+02	4.42179e-02
4.67684e+02	4.43249e-02
4.68384e+02	4.44324e-02
4.69085e+02	4.45402e-02
4.69785e+02	4.46485e-02
4.70485e+02	4.47571e-02
4.71186e+02	4.48661e-02
4.71886e+02	4.49756e-02
4.72586e+02	4.50854e-02
4.73287e+02	4.51957e-02
4.73987e+02	4.53063e-02
4.74687e+02	4.54174e-02
4.75388e+02	4.55289e-02
4.76088e+02	4.56408e-02
4.76788e+02	4.57531e-02
4.77489e+02	4.58658e-02
4.78189e+02	4.59790e-02
4.78889e+02	4.60926e-02
4.79590e+02	4.62066e-02
4.80290e+02	4.63210e-02
4.80990e+02	4.64359e-02
4.81691e+02	4.65512e-02
4.82391e+02	4.66669e-02
4.83092e+02	4.67831e-02
4.83792e+02	4.68997e-02
4.84492e+02	4.70167e-02
4.85193e+02	4.71342e-02
4.85893e+02	4.72521e-02
4.86593e+02	4.73705e-02
4.87294e+02	4.74893e-02
4.87994e+02	4.76086e-02
4.88694e+02	4.77283e-02
4.89395e+02	4.78485e-02
4.90095e+02	4.79692e-02
4.90795e+02	4.80903e-02
4.91496e+02	4.82118e-02
4.92196e+02	4.83339e-02
4.92896e+02	4.84564e-02
4.93597e+02	4.85794e-02
4.94297e+02	4.87028e-02
4.94997e+02	4.88267e-02
4.95698e+02	4.89512e-02
4.96398e+02	4.90760e-02
4.97099e+02	4.92014e-02
4.97799e+02	4.93273e-02
4.98499e+02	4.94536e-02
4.99200e+02	4.95804e-02
4.99900e+02	4.97078e-02
5.00600e+02	4.98356e-02
5.01301e+02	4.99639e-02
5.02001e+02	5.00927e-02
5.02701e+02	5.02221e-02
5.03402e+02	5.03519e-02
5.04102e+02	5.04822e-02
5.04802e+02	5.06131e-02
5.05503e+02	5.07445e-02
5.06203e+02	5.08764e-02
5.06903e+02	5.10088e-02
5.07604e+02	5.11417e-02
5.08304e+02	5.12751e-02
5.09005e+02	5.14091e-02
5.09705e+02	5.15436e-02
5.10405e+02	5.16787e-02
5.11106e+02	5.18143e-02
5.11806e+02	5.19504e-02
5.12506e+02	5.20871e-02
5.13207e+02	5.22243e-02
5.13907e+02	5.23620e-02
5.14607e+02	5.25003e-02
5.15308e+02	5.26392e-02
5.16008e+02	5.27786e-02
5.16708e+02	5.29186e-02
5.17409e+02	5.30592e-02
5.18109e+02	5.32003e-02
5.18809e+02	5.33420e-02
5.19510e+02	5.34842e-02
5.20210e+02	5.36270e-02
5.20910e+02	5.37704e-02
5.21611e+02	5.39144e-02
5.22311e+02	5.40590e-02
5.23012e+02	5.42042e-02
5.23712e+02	5.43499e-02
5.24412e+02	5.44963e-02
5.25113e+02	5.46432e-02
5.25813e+02	5.47908e-02
5.26513e+02	5.49389e-02
5.27214e+02	5.50877e-02
5.27914e+02	5.52371e-02
5.28614e+02	5.53871e-02
5.29315e+02	5.55377e-02
5.30015e+02	5.56889e-02
5.30715e+02	5.58407e-02
5.31416e+02	5.59932e-02
5.32116e+02	5.61463e-02
5.32816e+02	5.63001e-02
5.33517e+02	5.64545e-02
5.34217e+02	5.66095e-02
5.34917e+02	5.67652e-02
5.35618e+02	5.69215e-02
5.36318e+02	5.70785e-02
5.37019e+02	5.72361e-02
5.37719e+02	5.73944e-02
5.38419e+02	5.75534e-02
5.39120e+02	5.77130e-02
5.39820e+02	5.78733e-02
5.40520e+02	5.80343e-02
5.41221e+02	5.81959e-02
5.41921e+02	5.83583e-02
