# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
3.39520e+02	1.20845e+03
3.40220e+02	1.18724e+03
3.40920e+02	1.16659e+03
3.41621e+02	1.14647e+03
3.42321e+02	1.12688e+03
3.43022e+02	1.10779e+03
3.43722e+02	1.08919e+03
3.44422e+02	1.07105e+03
3.45123e+02	1.05337e+03
3.45823e+02	1.03613e+03
3.46523e+02	1.01931e+03
3.47224e+02	1.00289e+03
3.47924e+02	9.86879e+02
3.48624e+02	9.71247e+02
3.49325e+02	9.55987e+02
3.50025e+02	9.41086e+02
3.50725e+02	9.26533e+02
3.51426e+02	9.12318e+02
3.52126e+02	8.98430e+02
3.52826e+02	8.84859e+02
3.53527e+02	8.71595e+02
3.54227e+02	8.58630e+02
3.54927e+02	8.45953e+02
3.55628e+02	8.33557e+02
3.56328e+02	8.21433e+02
3.57029e+02	8.09574e+02
3.57729e+02	7.97971e+02
3.58429e+02	7.86617e+02
3.59130e+02	7.75506e+02
3.59830e+02	7.64630e+02
3.60530e+02	7.53982e+02
3.61231e+02	7.43557e+02
3.61931e+02	7.33347e+02
3.62631e+02	7.23348e+02
3.63332e+02	7.13553e+02
3.64032e+02	7.03957e+02
3.64732e+02	6.94554e+02
3.65433e+02	6.85339e+02
3.66133e+02	6.76307e+02
3.66833e+02	6.67454e+02
3.67534e+02	6.58774e+02
3.68234e+02	6.50264e+02
3.68934e+02	6.41918e+02
3.69635e+02	6.33733e+02
3.70335e+02	6.25704e+02
3.71036e+02	6.17827e+02
3.71736e+02	6.10099e+02
3.72436e+02	6.02516e+02
3.73137e+02	5.95074e+02
3.73837e+02	5.87769e+02
3.74537e+02	5.80599e+02
3.75238e+02	5.73560e+02
3.75938e+02	5.66649e+02
3.76638e+02	5.59862e+02
3.77339e+02	5.53198e+02
3.78039e+02	5.46652e+02
3.78739e+02	5.40222e+02
3.79440e+02	5.33905e+02
3.80140e+02	5.27699e+02
3.80840e+02	5.21601e+02
3.81541e+02	5.15609e+02
3.82241e+02	5.09719e+02
3.82941e+02	5.03931e+02
3.83642e+02	4.98240e+02
3.84342e+02	4.92646e+02
3.85043e+02	4.87147e+02
3.85743e+02	4.81739e+02
3.86443e+02	4.76421e+02
3.87144e+02	4.71190e+02
3.87844e+02	4.66046e+02
3.88544e+02	4.60986e+02
3.89245e+02	4.56008e+02
3.89945e+02	4.51111e+02
3.90645e+02	4.46293e+02
3.91346e+02	4.41551e+02
3.92046e+02	4.36885e+02
3.92746e+02	4.32293e+02
3.93447e+02	4.27773e+02
3.94147e+02	4.23324e+02
3.94847e+02	4.18944e+02
3.95548e+02	4.14632e+02
3.96248e+02	4.10386e+02
3.96948e+02	4.06206e+02
3.97649e+02	4.02089e+02
3.98349e+02	3.98035e+02
3.99050e+02	3.94042e+02
3.99750e+02	3.90108e+02
4.00450e+02	3.86234e+02
4.01151e+02	3.82417e+02
4.01851e+02	3.78657e+02
4.02551e+02	3.74952e+02
4.03252e+02	3.71302e+02
4.03952e+02	3.67704e+02
4.04652e+02	3.64159e+02
4.05353e+02	3.60665e+02
4.06053e+02	3.57221e+02
4.06753e+02	3.53827e+02
4.07454e+02	3.50480e+02
4.08154e+02	3.47181e+02
4.08854e+02	3.43929e+02
4.09555e+02	3.40722e+02
4.10255e+02	3.37560e+02
4.10955e+02	3.34442e+02
4.11656e+02	3.31367e+02
4.12356e+02	3.28334e+02
4.13057e+02	3.25343e+02
