# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
3.37419e+02	1.38141e+03
3.38119e+02	1.35600e+03
3.38819e+02	1.33130e+03
3.39520e+02	1.30728e+03
3.40220e+02	1.28391e+03
3.40920e+02	1.26116e+03
3.41621e+02	1.23902e+03
3.42321e+02	1.21746e+03
3.43022e+02	1.19646e+03
3.43722e+02	1.17601e+03
3.44422e+02	1.15609e+03
3.45123e+02	1.13667e+03
3.45823e+02	1.11774e+03
3.46523e+02	1.09928e+03
3.47224e+02	1.08128e+03
3.47924e+02	1.06372e+03
3.48624e+02	1.04659e+03
3.49325e+02	1.02987e+03
3.50025e+02	1.01356e+03
3.50725e+02	9.97632e+02
3.51426e+02	9.82079e+02
3.52126e+02	9.66891e+02
3.52826e+02	9.52055e+02
3.53527e+02	9.37560e+02
3.54227e+02	9.23396e+02
3.54927e+02	9.09553e+02
3.55628e+02	8.96021e+02
3.56328e+02	8.82791e+02
3.57029e+02	8.69855e+02
3.57729e+02	8.57202e+02
3.58429e+02	8.44825e+02
3.59130e+02	8.32716e+02
3.59830e+02	8.20868e+02
3.60530e+02	8.09272e+02
3.61231e+02	7.97922e+02
3.61931e+02	7.86811e+02
3.62631e+02	7.75931e+02
3.63332e+02	7.65277e+02
3.64032e+02	7.54842e+02
3.64732e+02	7.44621e+02
3.65433e+02	7.34607e+02
3.66133e+02	7.24794e+02
3.66833e+02	7.15179e+02
3.67534e+02	7.05754e+02
3.68234e+02	6.96516e+02
3.68934e+02	6.87459e+02
3.69635e+02	6.78578e+02
3.70335e+02	6.69869e+02
3.71036e+02	6.61328e+02
3.71736e+02	6.52950e+02
3.72436e+02	6.44731e+02
3.73137e+02	6.36667e+02
3.73837e+02	6.28754e+02
3.74537e+02	6.20989e+02
3.75238e+02	6.13367e+02
3.75938e+02	6.05886e+02
3.76638e+02	5.98541e+02
3.77339e+02	5.91329e+02
3.78039e+02	5.84248e+02
3.78739e+02	5.77294e+02
3.79440e+02	5.70464e+02
3.80140e+02	5.63755e+02
3.80840e+02	5.57164e+02
3.81541e+02	5.50688e+02
3.82241e+02	5.44326e+02
3.82941e+02	5.38073e+02
3.83642e+02	5.31928e+02
3.84342e+02	5.25888e+02
3.85043e+02	5.19951e+02
3.85743e+02	5.14114e+02
3.86443e+02	5.08376e+02
3.87144e+02	5.02733e+02
3.87844e+02	4.97184e+02
3.88544e+02	4.91727e+02
3.89245e+02	4.86360e+02
3.89945e+02	4.81080e+02
3.90645e+02	4.75886e+02
3.91346e+02	4.70777e+02
3.92046e+02	4.65749e+02
3.92746e+02	4.60802e+02
3.93447e+02	4.55934e+02
3.94147e+02	4.51142e+02
3.94847e+02	4.46426e+02
3.95548e+02	4.41784e+02
3.96248e+02	4.37214e+02
3.96948e+02	4.32715e+02
3.97649e+02	4.28285e+02
3.98349e+02	4.23924e+02
3.99050e+02	4.19628e+02
3.99750e+02	4.15398e+02
4.00450e+02	4.11232e+02
4.01151e+02	4.07128e+02
4.01851e+02	4.03086e+02
4.02551e+02	3.99104e+02
4.03252e+02	3.95180e+02
4.03952e+02	3.91315e+02
4.04652e+02	3.87506e+02
4.05353e+02	3.83753e+02
4.06053e+02	3.80054e+02
4.06753e+02	3.76408e+02
4.07454e+02	3.72815e+02
4.08154e+02	3.69273e+02
4.08854e+02	3.65782e+02
4.09555e+02	3.62340e+02
4.10255e+02	3.58946e+02
4.10955e+02	3.55600e+02
4.11656e+02	3.52301e+02
4.12356e+02	3.49048e+02
